Stigma,With Stigma,Without Stigma,With Stigma - plural,Without Stigma - plural,,,,,Cluster,Visibility,Persistent Course,Disrupt,Unappealing Aesthetics,Controllable Origin,Peril,n,%
Colorectal Cancer Current Avg. Symptoms,who has colorectal cancer currently,who does not have colorectal cancer currently,who have colorectal cancer currently,who do not have colorectal cancer currently,,,,,4 - Innocuous Persistent,1.04 / 51,3.26 / 69,1.19 / 61,1.23 / 62,.38 / 77,.71 / 51,0,0
Colorectal Cancer Remitted,who has remitted colorectal cancer,who does not have remitted colorectal cancer,who have remitted colorectal cancer,who do not have remitted colorectal cancer,,,,,4 - Innocuous Persistent,.29 / 84,2.77 / 87,.47 / 88,.67 / 83,.39 / 76,.51 / 69,2,0.2
Depression Remitted,who has remitted depression,who does not have remitted depression,who have remitted depression,who do not have remitted depression,,,,,4 - Innocuous Persistent,.39 / 78,2.77 / 88,1.06 / 69,.82 / 76,2.27 / 50,1.06 / 39,270,26.3
Diabetes Type 2,who has type 2 diabetes,who does not have type 2 diabetes,who have type 2 diabetes,who do not have type 2 diabetes,,,,,4 - Innocuous Persistent,.56 / 68,4.43 / 36,.70 / 80,.77 / 78,2.77 / 46,.66 / 59,27,2.6
Divorced Previously,who was divorced previously,who was not divorced previously,who were divorced previously,who were not divorced previously,,,,,4 - Innocuous Persistent,.19 / 89,4.33 / 39,.37 / 93,.35 / 92,4.28 / 32,.21 / 91,131,12.8
Documented Immigrant,who is a documented immigrant,who is not a documented immigrant,who are documented immigrants,who are documented immigrants,,,,,4 - Innocuous Persistent,.46 / 74,4.62 / 30,.70 / 82,.72 / 80,4.98 / 20,.63 / 61,20,2
Fundamentalist Christian,who is a Fundamentalist Christian,who is not a Fundamentalist Christian,who are Fundamentalist Christians,who are not Fundamentalist Christians,,,,,4 - Innocuous Persistent,.48 / 73,4.91 / 25,.95 / 73,.86 / 74,5.08 / 18,.62 / 63,74,7.2
Had An Abortion Previously,who had an abortion previously,who has not had an abortion previously,who had an abortion previously,who have not had an abortion previously,,,,,4 - Innocuous Persistent,.11 / 93,5.00 / 21,.65 / 84,1.34 / 56,5.26 / 16,.31 / 87,62,6
Heart Attack Recent Avg. Impairment,who had a heart attack recently,who has not had a heart attack recently,who had a heart attack recently,who have not had a heart attack recently,,,,,4 - Innocuous Persistent,1.33 / 43,3.41 / 62,1.49 / 45,.83 / 75,1.61 / 56,.73 / 49,4,0.4
Infertile,who is infertile,who is not infertile,who are infertile,who are not infertile,,,,,4 - Innocuous Persistent,.16 / 91,4.37 / 37,.40 / 92,.27 / 93,.69 / 71,.20 / 92,21,2
Intersex,who is intersex,who is not intersex,who are intersex,who are not intersex,,,,,4 - Innocuous Persistent,.81 / 58,4.92 / 24,1.64 / 39,2.50 / 28,1.41 / 58,.70 / 52,1,0.1
Jewish,who is Jewish,who is not Jewish,who are Jewish,who are not Jewish,,,,,4 - Innocuous Persistent,.77 / 60,5.05 / 20,.70 / 81,2.33 / 33,4.22 / 33,.49 / 72,15,1.5
Lesbian/Gay/Bisexual/Non-Heterosexual,"who is lesbian, gay, bisexual, or non-hetereosexual","who is not lesbian, gay, bisexual, or non-hetereosexual","who are lesbian, gay, bisexual, or non-hetereosexual","who are not lesbian, gay, bisexual, or non-hetereosexual",,,,,4 - Innocuous Persistent,.65 / 65,5.12 / 15,1.39 / 51,1.73 / 45,2.41 / 47,1.19 / 37,94,9.2
Less Than A High School Education,who has less than a high school education,who does not have less than a high school education,who have less than a high school education,who do not have less than a high school education,,,,,4 - Innocuous Persistent,1.21 / 45,3.33 / 67,1.36 / 52,1.31 / 58,4.22 / 34,.61 / 64,14,1.4
Limb Scars,who has limb scars,who does not have limb scars,who have limb scars,who do not have limb scars,,,,,4 - Innocuous Persistent,.87 / 56,4.53 / 34,.60 / 86,1.77 / 44,1.70 / 52,.33 / 85,93,9.1
Lung Cancer Current Avg. Symptoms,who has lung cancer currently,who does not have lung cancer currently,who have lung cancer currently,who do not have lung cancer currently,,,,,4 - Innocuous Persistent,1.61 / 38,3.86 / 47,1.47 / 46,1.26 / 60,1.98 / 51,.81 / 46,0,0
Lung Cancer Remitted,who has remitted lung cancer,who does not have remitted lung cancer,who have remitted lung cancer,who do not have remitted lung cancer,,,,,4 - Innocuous Persistent,.48 / 71,3.15 / 75,.62 / 85,.68 / 82,1.66 / 53,.58 / 67,1,0.1
Movement/Gait Impairment Remitted Avg. Sev.,who has remitted movement or gait impairment,who does not have remitted movement or gait impairment,who have remitted movement or gait impairment,who do not have remitted movement or gait impairment,,,,,4 - Innocuous Persistent,2.31 / 28,2.86 / 85,1.22 / 56,.73 / 79,.71 / 70,.40 / 81,70,6.8
Prostate Cancer Current Avg. Symptoms,who has prostate cancer currently,who does not have prostate cancer currently,who have prostate cancer currently,who do not have prostate cancer currently,,,,,4 - Innocuous Persistent,.89 / 55,3.14 / 77,1.10 / 65,.95 / 71,.32 / 81,.68 / 56,0,0
Prostate Cancer Remitted,who has remitted prostate cancer,who does not have remitted prostate cancer,who have remitted prostate cancer,who do not have remitted prostate cancer,,,,,4 - Innocuous Persistent,.23 / 87,2.61 / 90,.41 / 90,.51 / 86,.36 / 79,.47 / 75,2,0.2
Psoriasis Remitted Avg. Severity,who has remitted psoriasis,who does not have remitted psoriasis,who have remitted psoriasis,who do not have remitted psoriasis,,,,,4 - Innocuous Persistent,1.67 / 37,2.43 / 92,.77 / 79,1.04 / 67,.75 / 68,1.06 / 40,27,2.6
Teen Parent Currently,who is a teen parent currently,who is not a teen parent currently,who are teen parents currently,who are not teen parents currently,,,,,4 - Innocuous Persistent,1.15 / 46,4.89 / 27,1.21 / 57,1.25 / 61,4.77 / 24,.38 / 83,5,0.5
Teen Parent Previously,who was a teen parent previously,who was not a teen parent previously,who were teen parents previously,who ere not teen parents previously,,,,,4 - Innocuous Persistent,.36 / 82,4.95 / 22,.78 / 78,.96 / 70,4.65 / 26,.34 / 84,32,3.1
Unemployed,who is unemployed,who is not unemployed,who are unemployed,who are not unemployed,,,,,4 - Innocuous Persistent,.70 / 63,2.03 / 93,1.28 / 54,1.33 / 57,3.72 / 41,.72 / 50,436,42.5
Voluntarily Childless,who is voluntarily childless,who is not voluntarily childless,who are voluntarily childless,who are not voluntarily childless,,,,,4 - Innocuous Persistent,.41 / 77,3.54 / 58,.46 / 89,.43 / 90,5.33 / 13,.15 / 93,182,17.8
Was Raped Previously,who was raped previously,who was not raped previously,who were raped previously,who were not raped previously,,,,,4 - Innocuous Persistent,.17 / 90,4.95 / 23,1.03 / 70,.98 / 69,1.32 / 59,.49 / 73,66,6.4
Working Class Or Poor,who is working class or poor,who is not working class or poor,who are working class or poor,who are not working class or poor,,,,,4 - Innocuous Persistent,1.48 / 40,3.45 / 61,1.16 / 63,1.23 / 63,3.29 / 44,.93 / 43,422,41.2
Working In A Manual Industry,who is working in a manual industry,who is not working in a manual industry,who are working in a manual industry,who are not working in a manual industry,,,,,4 - Innocuous Persistent,1.14 / 47,3.30 / 68,.81 / 75,.82 / 77,3.57 / 43,.58 / 66,138,13.5
Working In A Service Industry,who is working in a service industry,who is not working in a service industry,who are working in a service industry,who are not working in a service industry,,,,,4 - Innocuous Persistent,.81 / 59,3.06 / 81,.70 / 83,.68 / 81,3.61 / 42,.41 / 80,299,29.2
Alcohol Dependency Remitted,who has remitted alcohol dependency,who does not have remitted alcohol dependency,who have remitted alcohol dependency,who do not have remitted alcohol dependency,,,,,5 - Unappealing Persistent,.51 / 70,3.08 / 79,1.19 / 60,1.27 / 59,4.54 / 29,1.68 / 28,95,9.3
Depression Symptomatic,who is symptomatic of depression,who is not symptomatic of depression,who are symptomatic of depression,who are not symptomatic of depression,,,,,5 - Unappealing Persistent,1.88 / 33,3.24 / 70,3.11 / 11,1.57 / 50,2.36 / 48,1.75 / 25,203,19.8
Drug Dependency Remitted,who has remitted drug dependency,who does not have remitted drug dependency,who have remitted drug dependency,who do not have remitted drug dependency,,,,,5 - Unappealing Persistent,.52 / 69,3.21 / 71,1.33 / 53,1.72 / 46,4.62 / 27,2.15 / 21,93,9.1
Fat/Overweight/Obese Current Avg. Severity,"who is fat, overweight, or obese currently","who is not fat, overweight, or obese currently","who are fat, overweight, or obese currently","who are not fat, overweight, or obese currently",,,,,5 - Unappealing Persistent,5.40 / 3,3.82 / 50,2.07 / 28,3.66 / 8,4.91 / 21,.95 / 42,345,33.7
Fat/Overweight/Obese Remitted Avg. Severity,"who was fat, overweight, or obese previously","who was not fat, overweight, or obese previously","who were fat, overweight, or obese previously","who were not fat, overweight, or obese previously",,,,,5 - Unappealing Persistent,2.43 / 27,2.82 / 86,1.00 / 72,1.43 / 52,4.59 / 28,.63 / 62,317,30.9
Fecal Incontinence,who has fecal incontinence,who does not have fecal incontinence,who have fecal incontinence,who do not have fecal incontinence,,,,,5 - Unappealing Persistent,1.39 / 42,3.58 / 57,2.47 / 19,3.76 / 6,.65 / 72,.80 / 47,19,1.9
Having Sex For Money,who is having sex for money,who is not having sex for money,who are having sex for money,who are not having sex for money,,,,,5 - Unappealing Persistent,.37 / 81,3.13 / 78,2.14 / 27,3.46 / 12,5.31 / 15,1.71 / 26,23,2.2
Illiteracy,who is illiterate,who is not illiterate,who are illiterate,who are not illiterate,,,,,5 - Unappealing Persistent,1.83 / 34,3.15 / 76,2.23 / 24,1.66 / 47,4.01 / 37,.69 / 54,0,0
Living In A Trailer Park,who is living in a trailer park,who is not living in a trailer park,who are living in a trailer park,who are not living in a trailer park,,,,,5 - Unappealing Persistent,.85 / 57,3.08 / 80,1.18 / 62,1.94 / 40,3.98 / 38,1.21 / 36,70,6.8
Living In Public Housing,who is living in public housing,who is not living in public housing,who are living in public housing,who are not living in public housing,,,,,5 - Unappealing Persistent,.91 / 53,3.18 / 74,1.24 / 55,1.82 / 43,3.91 / 39,1.39 / 32,35,3.4
Marijuana Use Recreationally,who uses marijuana recrationally,who does not use marijuana recrationally,who use marijuana recrationally,who do not use marijuana recrationally,,,,,5 - Unappealing Persistent,.63 / 66,2.99 / 84,1.45 / 47,1.43 / 51,5.51 / 7,1.68 / 27,261,25.5
Multiple Body Piercings,who has multiple body piercings,who does not have multiple body piercings,who have multiple body piercings,who do not have multiple body piercings,,,,,5 - Unappealing Persistent,1.72 / 36,3.33 / 66,1.54 / 43,2.43 / 30,5.75 / 2,1.15 / 38,54,5.3
Multiple Facial Piercings,who has multiple facial piercings,who does not have multiple facial piercings,who have multiple facial piercings,who do not have multiple facial piercings,,,,,5 - Unappealing Persistent,4.40 / 12,3.39 / 64,2.03 / 31,2.74 / 25,5.56 / 5,.97 / 41,34,3.3
Multiple Tattoos,who has multiple tattoos,who does not have multiple tattoos,who have multiple tattoos,who do not have multiple tattoos,,,,,5 - Unappealing Persistent,2.01 / 31,4.61 / 31,1.44 / 49,2.08 / 36,5.75 / 1,1.21 / 35,123,12
Muslim,who is Muslim,who is not Muslim,who are Muslim,who are not Muslim,,,,,5 - Unappealing Persistent,1.09 / 49,5.14 / 14,1.56 / 42,2.01 / 39,4.49 / 30,2.22 / 20,12,1.2
Polyamorous,who is polyamorous,who is not polyamorous,who are polyamorous,who are not polyamorous,,,,,5 - Unappealing Persistent,.43 / 76,3.60 / 55,1.64 / 40,2.02 / 38,5.65 / 3,1.41 / 31,45,4.4
Psoriasis Current Avg. Severity,who has psoriasis currently,who does not have psoriasis currently,who have psoriasis currently,who do not have psoriasis currently,,,,,5 - Unappealing Persistent,2.70 / 24,3.36 / 65,1.39 / 50,2.46 / 29,.84 / 66,1.64 / 29,26,2.5
Schizophrenia Remitted,who has remitted schizophrenia,who does not have remitted schizophrenia,who have remitted schizophrenia,who do not have remitted schizophrenia,,,,,5 - Unappealing Persistent,1.10 / 48,4.05 / 43,2.05 / 30,1.84 / 42,1.28 / 60,2.51 / 17,5,0.5
Smoking Cigarettes Daily,who is smoking cigarettes daily,who is not smoking cigarettes daily,who are smoking cigarettes daily,who are not smoking cigarettes daily,,,,,5 - Unappealing Persistent,2.44 / 26,3.41 / 63,1.49 / 44,2.77 / 24,5.32 / 14,2.51 / 18,244,23.8
Transgender,who is transgender,who is not transgender,who are transgender,who are not transgender,,,,,5 - Unappealing Persistent,1.89 / 32,5.06 / 18,2.17 / 26,2.87 / 20,3.28 / 45,1.23 / 34,12,1.2
Undocumented Immigrant,who is an undocumented immigrant,who is not an undocumented immigrant,who are undocumented immigrants,who are not undocumented immigrants,,,,,5 - Unappealing Persistent,.71 / 62,3.78 / 51,1.98 / 33,2.38 / 32,4.80 / 22,2.27 / 9,5,0.5
Urinary Incontinence,who has urinary incontinence,who does not have urinary incontinence,who have urinary incontinence,who do not have urinary incontinence,,,,,5 - Unappealing Persistent,.89 / 54,3.66 / 54,1.96 / 34,2.97 / 17,.73 / 69,.66 / 54,45,4.4
